"","UBERON.artery.wall","UBERON.feces","UBERON.mouth","GroupContrib","Sort","Importance","Rank1","Phylum","Class","Order","Family","Genus","Species"
"289441",-0.0748091626356084,-0.261027504734633,-0.132417336549065,"UBERON:artery wall",55,0.0108264257992144,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii"
"183106",-0.177312184423011,-0.318207091442846,-0.19587797379441,"UBERON:artery wall",56,0.0103106421734037,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","NA","NA"
"85367",-0.109030633688482,-0.286134539168687,-0.0717314993858492,"UBERON:mouth",57,0.00756372123332703,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas","NA"
"804187",-0.0867169653110023,-0.20502592586838,-0.0618003955884465,"UBERON:mouth",58,0.00734265199634174,"Bacteria","Acidobacteria","[Chloracidobacteria]","RB41","NA","NA","NA"
"189438",0.717888249852215,-0.529390113458925,-0.381727364531368,"UBERON:artery wall",59,0.0058014460939116,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"299883",-0.16382457151998,-0.397616441016667,-0.239234386996759,"UBERON:artery wall",60,0.00487617452810934,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia","NA"
"523036",-0.46940320947955,-0.570728942736381,0.91791720311904,"UBERON:mouth",61,0.00326058669402382,"Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","NA","NA"
"623634",-0.0828859140237266,-0.207905318403681,-0.0565560849792493,"UBERON:mouth",62,0.00314984442697223,"Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter","NA"
"3240573",-0.104999459131981,-0.30842140654801,-0.155429484836458,"UBERON:artery wall",63,0.0030570173446147,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","NA","NA"
"276151",-0.080430200282183,-0.209740978325322,-0.0531965824580519,"UBERON:mouth",64,0.000456500285473954,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia","NA"
"4480861",-0.039144642998659,-0.194855650151226,-0.00364218984019941,"UBERON:mouth",65,8.94329367835175e-05,"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium","NA"
