"","UBERON.artery.wall","UBERON.feces","UBERON.mouth","GroupContrib","Sort","Importance","Rank1","Phylum","Class","Order","Family","Genus","Species"
"288309",-0.220977615885522,-0.285969387757619,-0.205967199372345,"UBERON:mouth",13,0.133265281344145,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","NA","NA"
"178117",-0.229922446407863,-0.322944223472165,-0.208713276013722,"UBERON:mouth",14,0.130330674792029,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","NA"
"384716",-0.134455803030246,-0.38766052806406,-0.21612725565071,"UBERON:artery wall",15,0.127946101292125,"Bacteria","Firmicutes","Bacilli","Gemellales","NA","NA","NA"
"178675",-0.3108614096991,-0.345092891959946,-0.279998055794584,"UBERON:mouth",16,0.127116650995099,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"352933",-0.27347988572914,-0.348035116391521,-0.242001621870199,"UBERON:mouth",17,0.126676713522914,"Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA","NA"
"192438",-0.390901494882559,0.585679253906053,-0.363126877344735,"UBERON:feces",18,0.119928101743719,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"186020",-0.259575393610918,-0.365390441357961,-0.235136485510818,"UBERON:mouth",19,0.118223820438735,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"188454",-0.408923066357459,0.539457029071358,-0.379543489091646,"UBERON:feces",20,0.114875224220776,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"95623",-0.116534444659359,-0.287241266709993,-0.158099219097343,"UBERON:artery wall",21,0.112920204863837,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","stutzeri"
"180220",-0.133170633744683,-0.228729263005503,-0.111383055452965,"UBERON:mouth",22,0.100126836502623,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"179425",-0.365123110179477,-0.396366092969792,-0.339042160911353,"UBERON:mouth",23,0.0991154230674145,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","NA","NA"
"4348382",-0.138003289618468,-0.273970189402801,-0.155392248358652,"UBERON:artery wall",24,0.0990319161008831,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","NA","NA"
"175497",-0.270536495147991,-0.366371486255299,-0.241396041988763,"UBERON:mouth",25,0.0987036964082468,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"176470",-0.211149844419457,-0.336396097673325,-0.180898681630214,"UBERON:mouth",26,0.0964192582133025,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","NA"
"3829957",-0.140858746763225,-0.421282548037469,-0.270036559190646,"UBERON:artery wall",27,0.0956929164176037,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","NA","NA"
"2550241",-0.201556581080002,-0.266235757265946,-0.187534502364486,"UBERON:mouth",28,0.0940939014412557,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"198209",-0.305154023084912,-0.389845142197381,-0.279402076316992,"UBERON:mouth",29,0.0930964712399096,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53","NA"
"184000",-0.219755230162984,-0.351670916034977,-0.187893176136668,"UBERON:mouth",30,0.0920490411289362,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"179608",-0.231303099202978,-0.30496980557381,-0.213510123615482,"UBERON:mouth",31,0.0917685624182762,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","NA","NA"
"359158",-0.321786378275587,0.57019047180696,-0.293028302581719,"UBERON:feces",32,0.0916720335295382,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","NA","NA"
"4326080",-0.274600270147617,-0.309918332721296,-0.242757247513448,"UBERON:mouth",33,0.0910142040249337,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","NA"
"792863",-0.244851850197625,-0.410561447472444,-0.298301656557989,"UBERON:artery wall",34,0.090993009190522,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"198439",-0.412070622263328,0.709206250057267,-0.381710580893919,"UBERON:feces",35,0.0877433616053463,"Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA","NA"
"184678",-0.227509695708589,-0.349084422333976,-0.195191114632519,"UBERON:mouth",36,0.0861150924552547,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"183071",-0.160802297904849,-0.275040305504646,-0.133209994942975,"UBERON:mouth",37,0.0850504772060753,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"849704",-0.165463466609418,-0.267873491347436,-0.142113755033435,"UBERON:mouth",38,0.0826895618585399,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA"
"308631",-0.172448259769784,-0.297586072793338,-0.143546590513431,"UBERON:mouth",39,0.0807307674339565,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"289441",-0.0748091626356084,-0.261027504734633,-0.132417336549065,"UBERON:artery wall",40,0.0805132094726902,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii"
"303379",-0.192535573321471,-0.313136270769662,-0.165830277784785,"UBERON:mouth",41,0.0767311164169177,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","NA","NA"
"176753",-0.183614798062208,-0.297548095614937,-0.151695261036861,"UBERON:mouth",42,0.0764763020118116,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"3965747",-0.0924713490651706,-0.176633948030103,-0.0732820908226939,"UBERON:mouth",43,0.0740372073120883,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","luteciae"
"175148",-0.200486311174507,-0.279885102576038,-0.181308845170088,"UBERON:mouth",44,0.0716782089445619,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"192698",-0.354841248551476,0.414379191970732,-0.331713770942864,"UBERON:feces",45,0.0711249518169348,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"561636",-0.145081116621163,-0.267336172163209,-0.117421982374208,"UBERON:mouth",46,0.0709719530727052,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA"
"190453",-0.252160783149711,-0.34990076153575,-0.22244108234906,"UBERON:mouth",47,0.0696451656174368,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"925397",-0.178124128133408,-0.306666261999102,-0.194563525263969,"UBERON:artery wall",48,0.0682318518089588,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","acnes"
"184534",-0.128665514938378,-0.238157054550305,-0.104420183145339,"UBERON:mouth",49,0.0650573859184907,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","NA","NA"
"554436",-0.371397043318208,0.327154991114835,-0.348875144593514,"UBERON:feces",50,0.0647283758442864,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"4392188",-0.244348669123494,-0.337654152815459,-0.215977360840277,"UBERON:mouth",51,0.0625285278975248,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","faecis"
"1137076",-0.270160839134463,-0.411697642280561,-0.334154225244309,"UBERON:artery wall",52,0.0572924029723922,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"173883",-0.402691031660331,0.296694853350681,-0.384378660642621,"UBERON:feces",53,0.0553277352257654,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","NA","NA"
"3385021",-0.158458008837413,-0.418025433593421,-0.242181757001849,"UBERON:artery wall",54,0.0501798033805973,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","epidermidis"
"4341534",-0.499027156179096,0.613022371126829,-0.484615489564292,"UBERON:feces",55,0.04897478610134,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"197510",-0.346718000858592,0.394186747870215,-0.324641780813569,"UBERON:feces",56,0.0486315186756904,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","hiranonis"
"4410938",-0.0715231514662106,-0.184140178426549,-0.0458462208649788,"UBERON:mouth",57,0.0476495810988342,"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","biforme"
"976441",-0.136388160797229,-0.253548144655355,-0.151371882045128,"UBERON:artery wall",58,0.0476298768151618,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","NA"
"1109251",-0.0991254246291729,-0.191176124113393,-0.0797390006347176,"UBERON:mouth",59,0.0463129260053906,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"3728119",-0.183757588596322,-0.324273844122683,-0.217971373351162,"UBERON:artery wall",60,0.043906657403238,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","NA","NA"
"178342",-0.179193865243132,-0.292365201836857,-0.147487799095616,"UBERON:mouth",61,0.0433290685859867,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"1748738",-0.362438821792244,-0.457613829537441,-0.324524685132989,"UBERON:mouth",62,0.0412763136188899,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"1002245",-0.0930163322073831,-0.195348243991473,-0.0714646238431284,"UBERON:mouth",63,0.0405975668584792,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gillisia","NA"
"239739",-0.0927765942936429,-0.195510938803829,-0.0711401312072508,"UBERON:mouth",64,0.0403722332552363,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","NA","NA"
"183681",-0.285609580866962,-0.394531153471541,-0.252489903514886,"UBERON:mouth",65,0.0403599534413724,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"544419",-0.121482551795988,-0.265955291903717,-0.0910557347151535,"UBERON:mouth",66,0.039843315326509,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","NA"
"196318",-0.224921687077046,-0.31357184799207,-0.200085470146518,"UBERON:mouth",67,0.0389945321887141,"Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA","NA"
"191490",-0.249338117382391,-0.350285588585625,-0.226167027007084,"UBERON:mouth",68,0.0388959440736891,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"178015",-0.255872220088257,-0.326147698282722,-0.226200927735393,"UBERON:mouth",69,0.0381355222461215,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"4468391",-0.283411426379338,-0.34145777954315,-0.258903442101022,"UBERON:mouth",70,0.0378048082515213,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","NA"
"271255",-0.102305189451715,-0.243130868446123,-0.0726464651010037,"UBERON:mouth",71,0.0378005292696441,"Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA","NA"
"216180",-0.088237016467956,-0.198577043731864,-0.0649987514239781,"UBERON:mouth",72,0.0360905657139726,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","NA","NA"
"179408",-0.340977082565878,-0.407966937628276,-0.312693026373018,"UBERON:mouth",73,0.0359430652064025,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","NA"
"4450898",-0.0874853191815918,-0.199082079716416,-0.0639823786471022,"UBERON:mouth",74,0.0353788609867987,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gillisia","NA"
"657455",-0.0864809149588413,-0.199755717838801,-0.0626245687406825,"UBERON:mouth",75,0.0344266939682819,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","NA","NA"
"1066485",-0.0493982462534075,-0.232097252846895,-0.0727638263509602,"UBERON:artery wall",76,0.0324734367891223,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","NA"
"180442",-0.239055746595537,-0.328716769649855,-0.215220882858823,"UBERON:mouth",77,0.0321440390868141,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","NA","NA"
"4296699",-0.0553786719240998,-0.228619914978411,-0.0775346880747065,"UBERON:artery wall",78,0.030988786499209,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gillisia","NA"
"183532",-0.40392835095238,0.655878636461345,-0.373461113505881,"UBERON:feces",79,0.0308014514511414,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"711843",-0.0812312233762775,-0.203254674661616,-0.0555323598462958,"UBERON:mouth",80,0.0294277595812948,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"177792",-0.271936691669821,-0.335145456071171,-0.254228132899268,"UBERON:mouth",81,0.0292956382939745,"Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA","NA"
"246068",-0.0810735146556359,-0.203359220648282,-0.0553194187267817,"UBERON:mouth",82,0.0292770071634212,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","NA","NA"
"264552",-0.0571724611483111,-0.189020786533765,-0.0271107520783029,"UBERON:mouth",83,0.0292397866568547,"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister","NA"
"3785400",-0.0873541434860707,-0.240906859988595,-0.0523437853574145,"UBERON:mouth",84,0.0291724082584543,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","NA"
"305187",-0.138436540475323,-0.24979268108511,-0.113047094743769,"UBERON:mouth",85,0.0280567119658855,"Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA","NA"
"319810",-0.212436496019809,-0.284675544603558,-0.19677547982716,"UBERON:mouth",86,0.0278697394878833,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA"
"177679",-0.0547179715840603,-0.189834519879891,-0.0239111004801738,"UBERON:mouth",87,0.0260642903478012,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","NA","NA"
"169847",-0.374642406407089,0.110599968084389,-0.359610231119212,"UBERON:feces",88,0.0258957296979665,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","NA","NA"
"930014",-0.0771562429080412,-0.205945411605137,-0.0500324791099907,"UBERON:mouth",89,0.0255217657881102,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Pseudochrobactrum","NA"
"146554",-0.232497878911094,-0.305286813757856,-0.214916914530133,"UBERON:mouth",90,0.024973322190651,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","NA"
"513855",-0.0764783477352143,-0.206390896789409,-0.0491179933622763,"UBERON:mouth",91,0.0248698157683686,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus","fascians"
"669356",-0.0764783477352143,-0.206390896789409,-0.0491179933622763,"UBERON:mouth",92,0.0248698157683686,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","stutzeri"
"4378740",-0.0755146149785593,-0.207023177575983,-0.0478181306747971,"UBERON:mouth",93,0.0239419065619885,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA"
"112929",-0.0747418202129659,-0.207529302976611,-0.0467759877267744,"UBERON:mouth",94,0.023196938320203,"Bacteria","Chloroflexi","Ellin6529","NA","NA","NA","NA"
"2772151",-0.0744738191643031,-0.207704640561603,-0.0464146169289049,"UBERON:mouth",95,0.0229384005319972,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus","NA"
"2313",-0.0742003110357965,-0.207883483476845,-0.0460458409841015,"UBERON:mouth",96,0.0226744509711923,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NA","NA"
"294304",-0.0518571416789443,-0.190775258376336,-0.0201835045925293,"UBERON:mouth",97,0.0223532844703158,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","NA","NA"
"4097100",-0.073635974267437,-0.208252183373217,-0.0452850011529059,"UBERON:mouth",98,0.0221295202544828,"Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","RB40","NA","NA"
"4448334",-0.073344720044229,-0.2084423052694,-0.0448923662600929,"UBERON:mouth",99,0.0218481148131978,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"529644",-0.0857017849479445,-0.251688554182052,-0.106930018335678,"UBERON:artery wall",100,0.0213697591435289,"Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84","NA","NA","NA"
"180572",-0.427663563446768,0.641414984319441,-0.407868104009385,"UBERON:feces",101,0.0211896897797319,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"517116",-0.071788010448701,-0.209456584891541,-0.0427941910663872,"UBERON:mouth",102,0.0203421230029014,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","NA","NA"
"183157",-0.386750596825695,0.594468703789334,-0.36737639104489,"UBERON:feces",103,0.0203285003917649,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"3897233",-0.0714546899860901,-0.209673346787672,-0.0423450199921221,"UBERON:mouth",104,0.0200192414984994,"Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","NA","NA"
"248902",-0.0731965507659251,-0.214497496898104,-0.0912676866536945,"UBERON:artery wall",105,0.0200140411949719,"Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter","NA"
"591699",-0.0711133400959691,-0.209895179006819,-0.0418850606050877,"UBERON:mouth",106,0.0196884283814145,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","adhaesivum"
"133044",-0.0704051840808771,-0.210354898599957,-0.0409309430509657,"UBERON:mouth",107,0.0190016360845543,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","NA","NA"
"183715",-0.313563377626666,-0.344163232188532,-0.28597432572488,"UBERON:mouth",108,0.0189104078137182,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"3751503",-0.0692736139061007,-0.211088123614426,-0.0394066359344376,"UBERON:mouth",109,0.0179028160939509,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","NA"
"503389",-0.0692736139061007,-0.211088123614426,-0.0394066359344376,"UBERON:mouth",110,0.0179028160939509,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","NA"
"1013943",-0.0692736139061007,-0.211088123614426,-0.0394066359344376,"UBERON:mouth",111,0.0179028160939509,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NA","NA"
"336214",-0.0692736139061007,-0.211088123614426,-0.0394066359344376,"UBERON:mouth",112,0.0179028160939509,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","NA","NA"
"68458",-0.0281090572377636,-0.246624653320254,-0.0560552609858243,"UBERON:artery wall",113,0.0175658030620512,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","NA"
"4306353",-0.0688762445686942,-0.211345209234708,-0.0388714344961765,"UBERON:mouth",114,0.017516543016998,"Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","Nitriliruptor","NA"
"4426193",-0.0688762445686942,-0.211345209234708,-0.0388714344961765,"UBERON:mouth",115,0.017516543016998,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","NA"
"1043652",-0.0596576138614181,-0.223964111539401,-0.0806709554423357,"UBERON:artery wall",116,0.0168757419252039,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","NA","NA"
"110766",-0.0671726616199946,-0.212445030683624,-0.0365774379321039,"UBERON:mouth",117,0.0158581511974859,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Micromonospora","aquatica"
"260387",-0.0671726616199946,-0.212445030683624,-0.0365774379321039,"UBERON:mouth",118,0.0158581511974859,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","NA","NA"
"4374042",-0.0676000887614438,-0.218986375488363,-0.0340777658164986,"UBERON:mouth",119,0.0156558782448988,"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Mucispirillum","schaedleri"
"534674",-0.0667153689690262,-0.21273960916,-0.0359617967564036,"UBERON:mouth",120,0.0154123326341801,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","C111","NA","NA"
"4827",-0.0249493812579935,-0.248727475475502,-0.0535686117727546,"UBERON:artery wall",121,0.0152916687457447,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","NA","NA","NA"
"901613",-0.0657584965729485,-0.213355122191255,-0.0346737706510354,"UBERON:mouth",122,0.0144785713171583,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","marcescens"
"183592",-0.286594431259109,-0.378619913468677,-0.258612331790027,"UBERON:mouth",123,0.0139030392888149,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"4428929",-0.301492809877031,-0.390840891955616,-0.276461063448984,"UBERON:mouth",124,0.0125987846232787,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae"
"2435303",-0.109590067995062,-0.230624561882869,-0.0840994847663541,"UBERON:mouth",125,0.0121296371116417,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","NA","NA"
"835357",-0.0795364584089362,-0.44821370662401,-0.246227417724935,"UBERON:artery wall",126,0.0119352106833298,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","mendocina"
"114055",-0.0630813628841,-0.215070852372338,-0.0310714737422483,"UBERON:mouth",127,0.0118596493750143,"Bacteria","Gemmatimonadetes","Gemm-1","NA","NA","NA","NA"
"4468464",-0.274721191551453,-0.34128999198629,-0.260289453011505,"UBERON:mouth",128,0.0117919101791171,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]","NA"
"359359",-0.318041375040277,-0.376903878470544,-0.29318880067475,"UBERON:mouth",129,0.0112829365951434,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"336277",-0.0624892837782236,-0.215449044386259,-0.0302750497761659,"UBERON:mouth",130,0.0112791632901491,"Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA","NA"
"851049",-0.0624892837782236,-0.215449044386259,-0.0302750497761659,"UBERON:mouth",131,0.0112791632901491,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","NA","NA","NA"
"941632",-0.178064755238632,-0.314928102670327,-0.211389106875489,"UBERON:artery wall",132,0.0104861433375055,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","NA"
"1000986",-0.257181309148285,-0.432136965726866,-0.311205841933599,"UBERON:artery wall",133,0.00875560602640188,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","NA"
"812921",-0.0598905828935235,-0.217103576885801,-0.0267805926810698,"UBERON:mouth",134,0.00872586743162567,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","marcusii"
"835964",0.622990095446795,-0.430511458093837,-0.363400177540254,"UBERON:artery wall",135,0.00786373480727871,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","NA"
"254011",-0.0576533617280518,-0.218520937239168,-0.0237736949434104,"UBERON:mouth",136,0.00652059985821031,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA"
